loan_id,customer_id,product,principal,interest_rate_pct,tenure_months,emi,outstanding,status,risk_grade
LN2001,CUST901,personal,200000,13.5,36,6785,142300,active,B
LN2002,CUST902,home,3500000,8.7,240,30850,3380000,active,A
LN2003,CUST903,vehicle,650000,10.2,60,13870,410500,active,B
LN2004,CUST904,personal,100000,15.0,24,4849,0,closed,C
LN2005,CUST905,education,500000,9.5,84,8210,468000,active,A
LN2006,CUST906,home,2800000,8.9,180,28250,2655000,active,A
LN2007,CUST907,vehicle,450000,11.0,48,11640,298700,active,C
LN2008,CUST908,personal,350000,12.0,48,9215,205400,active,B
LN2009,CUST909,personal,80000,16.0,12,7260,0,closed,C
LN2010,CUST910,home,4200000,8.4,300,32180,4115000,active,A
LN2011,CUST911,education,300000,9.8,60,6345,212800,active,B
LN2012,CUST912,vehicle,720000,9.5,72,13110,540200,active,A
LN2013,CUST913,personal,150000,14.0,36,5130,98700,overdue,D
LN2014,CUST914,home,1900000,9.1,180,19560,1820000,active,B
LN2015,CUST915,personal,250000,13.0,48,6705,176900,overdue,D
